name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
TIME_STAMP_s	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
TIME_STAMP_ms	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
COUNTER	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
INTERPOLATED	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
AF3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
FC5	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
T7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
P7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
O9	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
O10	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
P8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
T8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
FC6	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
AF4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
HighBitFlex	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
SaturationFlag	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
RAW_CQ	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
BATTERY	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
BATTERY_PERCENT	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
MarkerIndex	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
MarkerType	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
MarkerValueInt	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
MARKER_HARDWARE	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_AF3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_F7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_F3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_FC5	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_T7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_P7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_O9	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_O10	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_P8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_T8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_FC6	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_F4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_F8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_AF4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_Overall	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_SampleRateQua	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_OVERALL	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_AF3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_F7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_F3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_FC5	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_T7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_P7	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_O9	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_O10	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_P8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_T8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_FC6	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_F4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_F8	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
EQ_AF4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_CMS	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CQ_DRL	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
